id;debut;fin;titre;categorie;description;precision;duree;type;source;source_complementaire;precision_fin;source_fin;note_dates
reperes-rahab;-1500;-1400;Rahab;Personnages;;vers;;Vie;https://wol.jw.org/fr/wol/d/r30/lp-f/1102025962;;vers;https://wol.jw.org/fr/wol/d/r30/lp-f/1102025962;Période de vie. Les dates marquées « vers » sont approximatives.
reperes-sem;-2468;-1868;Sem;Personnages;;année;;Vie;https://wol.jw.org/fr/wol/d/r30/lp-f/1200271562;;;https://wol.jw.org/fr/wol/d/r30/lp-f/1200271562;Naissance → mort selon la chronologie référencée.
reperes-isaac;-1918;-1738;Isaac;Personnages;;année;;Vie;https://wol.jw.org/fr/wol/d/r30/lp-f/1200271562;;;https://wol.jw.org/fr/wol/d/r30/lp-f/1200271562;Naissance → mort selon la chronologie référencée.
reperes-aaron;-1597;-1474;Aaron;Personnages;;année;;Vie;https://wol.jw.org/fr/wol/d/r30/lp-f/1200271562;;;https://wol.jw.org/fr/wol/d/r30/lp-f/1200271562;Naissance → mort selon la chronologie référencée.
reperes-creation-adam;-4026;;Création d’Adam;Grands repères;;année;;Événement;https://wol.jw.org/fr/wol/d/r30/lp-f/1102025962;;;;
reperes-deluge;-2370;-2369;Déluge;Grands repères;Du commencement du Déluge à la sortie de l’arche.;année;;Événement;https://wol.jw.org/fr/wol/d/r30/lp-f/1200271562;;;https://wol.jw.org/fr/wol/d/r30/lp-f/1200271562;Bornes annuelles : deuxième mois de 2370 à deuxième mois de 2369 av. n. è.
reperes-arc-en-ciel;-2369;;Alliance après le Déluge;Grands repères;;année;;Événement;https://wol.jw.org/fr/wol/d/r30/lp-f/1200271562;;;;
reperes-babel;-2269;;Babel : dispersion;Grands repères;;apres;;Événement;https://wol.jw.org/fr/wol/d/r30/lp-f/1200271562;;;;
reperes-alliance-abraham;-1943;;Alliance avec Abraham : entrée en vigueur;Grands repères;;année;;Événement;https://wol.jw.org/fr/wol/d/r30/lp-f/1102025962;;;;
reperes-jacob-egypte;-1728;;Installation de la famille de Jacob en Égypte;Grands repères;;année;;Événement;https://wol.jw.org/fr/wol/d/r30/lp-f/1102025962;;;;
reperes-joseph-gouverneur;-1737;;Joseph à la tête de l’administration égyptienne;Grands repères;;année;;Événement;https://wol.jw.org/fr/wol/d/r30/lp-f/1200271562;;;;
reperes-job;-1613;;Job : période des épreuves;Personnages;;vers;;Repère historique;https://wol.jw.org/fr/wol/d/r30/lp-f/1200271562;;;;Repère dans sa vie, pas des dates de naissance et de mort.
reperes-buisson;-1514;;Moïse : appel au buisson ardent;Grands repères;;vers;;Événement;https://wol.jw.org/fr/wol/d/r30/lp-f/1200271562;;;;
reperes-plaies;;;Dix plaies d’Égypte;Grands repères;Événements précédant la sortie d’Égypte.;non_datee;;Événement;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Mo%C3%AFse/;https://wol.jw.org/fr/wol/d/r30/lp-f/1200271562;;;"Début non établi dans la source retenue ; fin associée à l’Exode de 1513 av. n. è. Voir le repère Exode."
reperes-exode;-1513;;Exode : sortie d’Égypte;Grands repères;;année;;Événement;https://wol.jw.org/fr/wol/d/r30/lp-f/1102025962;;;;
reperes-mer-rouge;-1513;;Passage de la mer Rouge;Grands repères;;année;;Événement;https://wol.jw.org/fr/wol/d/r30/lp-f/1200271562;;;;
reperes-loi;-1513;;Alliance de la Loi au Sinaï;Grands repères;;année;;Événement;https://wol.jw.org/fr/wol/d/r30/lp-f/1200271562;;;;
reperes-tabernacle;-1512;;Tabernacle : mise en service;Grands repères;;année;;Événement;https://wol.jw.org/fr/wol/d/r30/lp-f/1200271562;;;;
reperes-desert;-1513;-1473;D’Israël en Égypte à l’entrée en Canaan;Grands repères;;année;40 ans;Période;https://wol.jw.org/fr/wol/d/r30/lp-f/1102025962;;;https://wol.jw.org/fr/wol/d/r30/lp-f/1102025962;
reperes-canaan;-1473;;Entrée en Terre promise;Grands repères;;année;;Événement;https://wol.jw.org/fr/wol/d/r30/lp-f/1102025962;;;;
reperes-temple1;-1034;-1027;Construction du temple de Salomon;Grands repères;;année;;Période;https://wol.jw.org/fr/wol/d/r30/lp-f/1200271562;;;https://wol.jw.org/fr/wol/d/r30/lp-f/1200271562;
reperes-temple1-inauguration;-1026;;Inauguration du premier Temple;Grands repères;;année;;Événement;https://wol.jw.org/fr/wol/d/r30/lp-f/1200271562;;;;
reperes-babylone;-539;;Prise de Babylone par Cyrus;Grands repères;;année;;Événement;https://www.jw.org/fr/biblioth%C3%A8que/brochures/message-de-la-bible/frise-chronologique-bible/;;;;
reperes-retour;-537;;Retour des exilés à Jérusalem;Grands repères;;année;;Événement;https://www.jw.org/fr/biblioth%C3%A8que/brochures/message-de-la-bible/frise-chronologique-bible/;;;;
reperes-temple2;-536;-515;Second Temple : des fondations à l’achèvement;Grands repères;;année;;Période;https://wol.jw.org/fr/wol/d/r30/lp-f/1200271562;;;https://wol.jw.org/fr/wol/d/r30/lp-f/1200271562;La construction a connu une interruption.
reperes-murailles;-455;;Reconstruction des remparts de Jérusalem;Grands repères;;année;;Événement;https://www.jw.org/fr/biblioth%C3%A8que/brochures/message-de-la-bible/frise-chronologique-bible/;;;;
reperes-jesus;-2;33;Jésus : vie terrestre;Jésus et premiers chrétiens;;année;;Vie;https://www.jw.org/fr/la-bible-et-vous/questions-bibliques/quand-jesus-est-il-ne/;;;https://www.jw.org/fr/la-bible-et-vous/questions-bibliques/quand-jesus-est-il-ne/;"Naissance à l’automne ; fin de la vie terrestre au printemps. Pas d’année zéro."
reperes-ministere-jesus;29;33;Ministère de Jésus;Jésus et premiers chrétiens;;année;Environ 3 ans et demi;Ministère;https://www.jw.org/fr/la-bible-et-vous/questions-bibliques/quand-jesus-est-il-ne/;https://www.jw.org/fr/biblioth%C3%A8que/brochures/message-de-la-bible/frise-chronologique-bible/;;https://www.jw.org/fr/la-bible-et-vous/questions-bibliques/quand-jesus-est-il-ne/;
reperes-bapteme;29;;Baptême de Jésus;Jésus et premiers chrétiens;;année;;Événement;https://www.jw.org/fr/biblioth%C3%A8que/brochures/message-de-la-bible/frise-chronologique-bible/;;;;
reperes-apotres;31;;Choix des douze apôtres;Jésus et premiers chrétiens;;année;;Événement;https://www.jw.org/fr/biblioth%C3%A8que/brochures/message-de-la-bible/frise-chronologique-bible/;;;;
reperes-mort-jesus;33;;Mort de Jésus;Jésus et premiers chrétiens;;année;;Événement;https://www.jw.org/fr/biblioth%C3%A8que/brochures/message-de-la-bible/frise-chronologique-bible/;;;;
reperes-resurrection;33;;Résurrection de Jésus;Jésus et premiers chrétiens;;année;;Événement;https://www.jw.org/fr/biblioth%C3%A8que/brochures/message-de-la-bible/frise-chronologique-bible/;;;;
reperes-pentecote;33;;Pentecôte : naissance de l’assemblée chrétienne;Jésus et premiers chrétiens;;année;;Événement;https://www.jw.org/fr/biblioth%C3%A8que/brochures/message-de-la-bible/frise-chronologique-bible/;;;;
reperes-corneille;36;;Conversion de Corneille;Jésus et premiers chrétiens;;année;;Événement;https://www.jw.org/fr/biblioth%C3%A8que/brochures/message-de-la-bible/frise-chronologique-bible/;;;;
reperes-paul-voyage;47;48;Paul : premier voyage missionnaire;Jésus et premiers chrétiens;;vers;;Voyage;https://www.jw.org/fr/biblioth%C3%A8que/brochures/message-de-la-bible/frise-chronologique-bible/;;vers;https://www.jw.org/fr/biblioth%C3%A8que/brochures/message-de-la-bible/frise-chronologique-bible/;Période d’activité, pas la durée de sa vie.
reperes-sept-temps;-607;1914;Sept temps;Repères prophétiques;Interprétation prophétique présentée sur jw.org.;année;2 520 ans;Période prophétique;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Temps-fix%C3%A9s-des-nations/;;;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Temps-fix%C3%A9s-des-nations/;De 607 av. n. è. à 1914 de n. è. Le calcul ne comporte pas d’année zéro.
reperes-moderne-etude-bible;1870;;Groupe d’étude biblique de Charles Russell;Époque moderne;Début d’une étude régulière avec ses compagnons en Pennsylvanie.;année;;Événement;https://www.jw.org/fr/biblioth%C3%A8que/livres/Les-T%C3%A9moins-de-J%C3%A9hovah-pr%C3%A9dicateurs-du-Royaume-de-Dieu/%C3%89v%C3%A9nements-marquants-de-lhistoire-moderne-des-T%C3%A9moins-de-J%C3%A9hovah/;;;;
reperes-moderne-tour-garde;1879;;Premier numéro de La Tour de Garde;Époque moderne;Parution en anglais en juillet 1879, sous son titre de l’époque.;année;;Événement;https://www.jw.org/fr/biblioth%C3%A8que/livres/Les-T%C3%A9moins-de-J%C3%A9hovah-pr%C3%A9dicateurs-du-Royaume-de-Dieu/%C3%89v%C3%A9nements-marquants-de-lhistoire-moderne-des-T%C3%A9moins-de-J%C3%A9hovah/;;;;
reperes-moderne-societe;1884-12-15;;Enregistrement de la Zion’s Watch Tower Tract Society;Époque moderne;Statuts officiels en Pennsylvanie.;année;;Événement;https://www.jw.org/fr/biblioth%C3%A8que/livres/Les-T%C3%A9moins-de-J%C3%A9hovah-pr%C3%A9dicateurs-du-Royaume-de-Dieu/%C3%89v%C3%A9nements-marquants-de-lhistoire-moderne-des-T%C3%A9moins-de-J%C3%A9hovah/;;;;
reperes-moderne-photo-drame;1914;;Photo-Drame de la Création;Époque moderne;Premières projections à New York en janvier.;année;;Événement;https://www.jw.org/fr/biblioth%C3%A8que/livres/Les-T%C3%A9moins-de-J%C3%A9hovah-pr%C3%A9dicateurs-du-Royaume-de-Dieu/%C3%89v%C3%A9nements-marquants-de-lhistoire-moderne-des-T%C3%A9moins-de-J%C3%A9hovah/;;;;
reperes-moderne-royaume;1914;;1914 : établissement du Royaume;Époque moderne;"Repère prophétique selon l’explication publiée sur jw.org ; fin des sept temps.";année;;Repère prophétique;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Temps-fix%C3%A9s-des-nations/;;;;
reperes-moderne-cedar-point;1922-09-05;1922-09-13;Assemblée de Cedar Point;Époque moderne;"Assemblée du 5 au 13 septembre ; encouragement à annoncer le Royaume.";année;;Assemblée;https://www.jw.org/fr/biblioth%C3%A8que/livres/Les-T%C3%A9moins-de-J%C3%A9hovah-pr%C3%A9dicateurs-du-Royaume-de-Dieu/%C3%89v%C3%A9nements-marquants-de-lhistoire-moderne-des-T%C3%A9moins-de-J%C3%A9hovah/;;;https://www.jw.org/fr/biblioth%C3%A8que/livres/Les-T%C3%A9moins-de-J%C3%A9hovah-pr%C3%A9dicateurs-du-Royaume-de-Dieu/%C3%89v%C3%A9nements-marquants-de-lhistoire-moderne-des-T%C3%A9moins-de-J%C3%A9hovah/;
reperes-moderne-nom-temoins;1931-07-26;;Adoption du nom « Témoins de Jéhovah »;Époque moderne;Résolution adoptée à Columbus, dans l’Ohio.;année;;Événement;https://www.jw.org/fr/actualites/region/international/Fiers-de-porter-le-nom-de-T%C3%A9moins-de-J%C3%A9hovah-depuis-90-ans/;;;;
reperes-moderne-salle-royaume;1935;;Appellation « Salle du Royaume »;Époque moderne;Première utilisation de cette appellation à Honolulu.;année;;Événement;https://www.jw.org/fr/biblioth%C3%A8que/livres/Les-T%C3%A9moins-de-J%C3%A9hovah-pr%C3%A9dicateurs-du-Royaume-de-Dieu/%C3%89v%C3%A9nements-marquants-de-lhistoire-moderne-des-T%C3%A9moins-de-J%C3%A9hovah/;;;;
reperes-apotre-pierre;31;;Pierre (Simon, Céphas) — ministère apostolique;Jésus et premiers chrétiens;Choisi parmi les douze apôtres de Jésus.;année;;Ministère apostolique;https://www.jw.org/fr/biblioth%C3%A8que/brochures/message-de-la-bible/frise-chronologique-bible/;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Pierre-Lettres-de/;non_datee;;"Début : choix comme apôtre, et non première rencontre avec Jésus. Année de décès non établie dans les sources retenues ; la frise marque seulement le début, sans attribuer une durée fictive. Sa deuxième lettre est située vers 64 ; cela ne date pas sa mort."
reperes-apotre-andre;31;;André — ministère apostolique;Jésus et premiers chrétiens;Choisi parmi les douze apôtres de Jésus.;année;;Ministère apostolique;https://www.jw.org/fr/biblioth%C3%A8que/brochures/message-de-la-bible/frise-chronologique-bible/;https://www.jw.org/fr/biblioth%C3%A8que/bible/bible-d-etude/livres/luc/6/;non_datee;;"Début : choix comme apôtre, et non première rencontre avec Jésus. Année de décès non établie dans les sources retenues ; la frise marque seulement le début, sans attribuer une durée fictive."
reperes-apotre-jacques-zebedee;31;44;Jacques, fils de Zébédée — ministère apostolique;Jésus et premiers chrétiens;Choisi parmi les douze apôtres de Jésus.;année;;Ministère apostolique;https://www.jw.org/fr/biblioth%C3%A8que/brochures/message-de-la-bible/frise-chronologique-bible/;https://www.jw.org/fr/biblioth%C3%A8que/bible/bible-d-etude/livres/luc/6/;vers_incertain;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Jacques/;"Choix en 31 ; décès probablement en 44 selon la notice Jacques, section 2. Ne pas confondre avec Jacques, fils d’Alphée, ou le demi-frère de Jésus."
reperes-apotre-jean;31;100;Jean — ministère apostolique;Jésus et premiers chrétiens;Choisi parmi les douze apôtres de Jésus.;année;;Ministère apostolique;https://www.jw.org/fr/biblioth%C3%A8que/brochures/message-de-la-bible/frise-chronologique-bible/;https://www.jw.org/fr/biblioth%C3%A8que/bible/bible-d-etude/livres/luc/6/;vers;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Jean/;"Début : choix parmi les douze en 31. Décès vers 100 selon une tradition rapportée par la notice Jean, section 3 ; ce n’est pas une année certaine."
reperes-apotre-philippe;31;;Philippe — ministère apostolique;Jésus et premiers chrétiens;Choisi parmi les douze apôtres de Jésus.;année;;Ministère apostolique;https://www.jw.org/fr/biblioth%C3%A8que/brochures/message-de-la-bible/frise-chronologique-bible/;https://www.jw.org/fr/biblioth%C3%A8que/bible/bible-d-etude/livres/luc/6/;non_datee;;"Début : choix comme apôtre, et non première rencontre avec Jésus. Année de décès non établie dans les sources retenues ; la frise marque seulement le début, sans attribuer une durée fictive."
reperes-apotre-barthelemy;31;;Barthélemy — ministère apostolique;Jésus et premiers chrétiens;Choisi parmi les douze apôtres de Jésus.;année;;Ministère apostolique;https://www.jw.org/fr/biblioth%C3%A8que/brochures/message-de-la-bible/frise-chronologique-bible/;https://www.jw.org/fr/biblioth%C3%A8que/bible/bible-d-etude/livres/luc/6/;non_datee;;"Début : choix comme apôtre, et non première rencontre avec Jésus. Année de décès non établie dans les sources retenues ; la frise marque seulement le début, sans attribuer une durée fictive."
reperes-apotre-matthieu;31;;Matthieu — ministère apostolique;Jésus et premiers chrétiens;Choisi parmi les douze apôtres de Jésus.;année;;Ministère apostolique;https://www.jw.org/fr/biblioth%C3%A8que/brochures/message-de-la-bible/frise-chronologique-bible/;https://www.jw.org/fr/biblioth%C3%A8que/bible/bible-d-etude/livres/luc/6/;non_datee;;"Début : choix comme apôtre, et non première rencontre avec Jésus. Année de décès non établie dans les sources retenues ; la frise marque seulement le début, sans attribuer une durée fictive."
reperes-apotre-thomas;31;;Thomas — ministère apostolique;Jésus et premiers chrétiens;Choisi parmi les douze apôtres de Jésus.;année;;Ministère apostolique;https://www.jw.org/fr/biblioth%C3%A8que/brochures/message-de-la-bible/frise-chronologique-bible/;https://www.jw.org/fr/biblioth%C3%A8que/bible/bible-d-etude/livres/luc/6/;non_datee;;"Début : choix comme apôtre, et non première rencontre avec Jésus. Année de décès non établie dans les sources retenues ; la frise marque seulement le début, sans attribuer une durée fictive."
reperes-apotre-jacques-alphee;31;;Jacques, fils d’Alphée — ministère apostolique;Jésus et premiers chrétiens;Choisi parmi les douze apôtres de Jésus.;année;;Ministère apostolique;https://www.jw.org/fr/biblioth%C3%A8que/brochures/message-de-la-bible/frise-chronologique-bible/;https://www.jw.org/fr/biblioth%C3%A8que/bible/bible-d-etude/livres/luc/6/;non_datee;;"Début : choix comme apôtre, et non première rencontre avec Jésus. Année de décès non établie dans les sources retenues ; la frise marque seulement le début, sans attribuer une durée fictive."
reperes-apotre-simon;31;;Simon le Zélé — ministère apostolique;Jésus et premiers chrétiens;Choisi parmi les douze apôtres de Jésus.;année;;Ministère apostolique;https://www.jw.org/fr/biblioth%C3%A8que/brochures/message-de-la-bible/frise-chronologique-bible/;https://www.jw.org/fr/biblioth%C3%A8que/bible/bible-d-etude/livres/luc/6/;non_datee;;"Début : choix comme apôtre, et non première rencontre avec Jésus. Année de décès non établie dans les sources retenues ; la frise marque seulement le début, sans attribuer une durée fictive."
reperes-apotre-judas-jacques;31;;Judas, fils de Jacques (Thaddée) — ministère apostolique;Jésus et premiers chrétiens;Choisi parmi les douze apôtres de Jésus.;année;;Ministère apostolique;https://www.jw.org/fr/biblioth%C3%A8que/brochures/message-de-la-bible/frise-chronologique-bible/;https://www.jw.org/fr/biblioth%C3%A8que/bible/bible-d-etude/livres/luc/6/;non_datee;;"Début : choix comme apôtre, et non première rencontre avec Jésus. Année de décès non établie dans les sources retenues ; la frise marque seulement le début, sans attribuer une durée fictive."
reperes-apotre-judas-iscariote;31;33;Judas Iscariote — ministère apostolique;Jésus et premiers chrétiens;Choisi parmi les douze apôtres de Jésus.;année;;Ministère apostolique;https://www.jw.org/fr/biblioth%C3%A8que/brochures/message-de-la-bible/frise-chronologique-bible/;https://www.jw.org/fr/biblioth%C3%A8que/bible/bible-d-etude/livres/luc/6/;année;https://www.jw.org/fr/biblioth%C3%A8que/bible/bible-d-etude/livres/matthieu/27/;"Choix en 31 ; défection et décès en 33, année de la mort de Jésus. La période ne signifie pas un ministère resté fidèle jusqu’à son décès."
reperes-apotre-matthias;33;;Matthias — ministère apostolique;Jésus et premiers chrétiens;Remplace Judas Iscariote après l’ascension de Jésus et avant la Pentecôte.;année;;Ministère apostolique;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Matthias/;https://www.jw.org/fr/biblioth%C3%A8que/brochures/message-de-la-bible/frise-chronologique-bible/;non_datee;;"Nomination en 33, avant la Pentecôte ; ne faisait pas partie des douze choisis en 31. Année de décès non établie dans les sources retenues."
"reperes-suzanne";"31";"";"Suzanne — soutien au ministère de Jésus";"Jésus et premiers chrétiens";"Mentionnée en Luc 8:1-3 parmi les femmes qui accompagnaient Jésus et les Douze et contribuaient à leurs besoins avec leurs biens.";"vers";"";"Repère historique";"https://www.jw.org/fr/biblioth%C3%A8que/bible/bible-d-etude/livres/luc/8/";"https://wol.jw.org/fr/wol/d/r30/lp-f/1200012397";"";"";"Repère de son activité, pas une période de vie. Placement approximatif vers 31 d’après le tableau chronologique de la vie de Jésus, qui situe Luc 8:1-3 après la Pâque de 31 et avant celle de 32. Dates de naissance, de décès et bornes de son activité non établies."
